Frequency,Monetary,Recency,Tenure,Average_Order_Value,Churn
1,152.34,111,111,152.34,0
1,933.3,114,114,933.3,0
2,1563.0,115,230,781.5,1
2,516.44,122,169,258.22,0
1,189.47,89,89,189.47,1
2,64.05,197,197,32.025,0
1,299.05,59,59,299.05,1
16,4900.97,23,272,306.310625,0
1,48.150000000000006,59,59,48.150000000000006,0
2,186.39000000000001,211,242,93.19500000000001,1
2,486.82000000000005,61,194,243.41000000000003,1
1,232.6,61,61,232.6,1
2,2391.59,247,249,1195.795,0
1,203.46,65,65,203.46,0
1,59.5,97,97,59.5,1
1,65.13,195,195,65.13,1
1,72.0,92,92,72.0,1
2,871.58,123,146,435.79,0
39,45911.64,17,283,1177.2215384615386,0
12,1767.07,8,169,147.25583333333333,0
1,308.58000000000004,65,65,308.58000000000004,1
8,1634.77,2,237,204.34625,0
1,99.5,228,228,99.5,1
2,522.68,54,283,261.34,0
1,330.79,212,212,330.79,1
2,806.41,177,225,403.205,1
1,283.33,181,181,283.33,1
5,2918.81,11,225,583.762,0
2,252.06,128,128,126.03,1
1,228.84,156,156,228.84,1
5,1077.39,191,282,215.478,1
1,138.28,179,179,138.28,1
4,955.99,38,208,238.9975,0
2,306.55,156,205,153.275,1
2,338.74,115,144,169.37,0
4,799.9,26,164,199.975,1
3,2375.41,41,192,791.8033333333333,1
1,199.85000000000002,127,127,199.85000000000002,1
7,1865.7,79,218,266.5285714285714,0
1,292.68,10,10,292.68,0
5,797.02,17,220,159.404,0
2,752.6,45,71,376.3,1
2,610.59,129,156,305.295,1
2,1409.69,85,144,704.845,0
1,357.53,170,170,357.53,0
1,339.59999999999997,110,110,339.59999999999997,1
1,350.75,150,150,350.75,1
2,363.13,93,127,181.565,0
10,2632.57,72,230,263.257,0
5,912.1199999999999,17,169,182.42399999999998,0
2,1080.52,5,202,540.26,1
1,300.04,72,72,300.04,1
1,79.6,283,283,79.6,1
5,948.25,5,283,189.65,1
4,1316.63,50,246,329.1575,0
1,296.25,198,198,296.25,1
6,1175.38,34,156,195.89666666666668,1
1,741.26,197,197,741.26,1
2,282.59999999999997,61,227,141.29999999999998,1
8,2972.3300000000004,3,277,371.54125000000005,0
5,2351.52,111,283,470.304,0
1,135.09,166,166,135.09,0
1,491.71000000000004,89,89,491.71000000000004,0
1,306.72,128,128,306.72,1
2,943.29,54,247,471.645,0
28,9676.37,18,283,345.5846428571429,0
8,2176.62,2,277,272.0775,0
2,1464.8500000000001,109,157,732.4250000000001,0
2,682.97,6,149,341.485,0
24,12360.24,39,283,515.01,0
1,178.7,13,13,178.7,1
1,116.28000000000002,80,80,116.28000000000002,0
1,127.84,160,160,127.84,1
3,484.79,34,237,161.59666666666666,0
9,2124.15,4,242,236.01666666666668,0
1,230.39999999999998,277,277,230.39999999999998,1
1,106.4,274,274,106.4,0
2,1516.0,37,78,758.0,1
1,74.60000000000001,197,197,74.60000000000001,0
42,29161.14,3,282,694.3128571428572,0
2,688.86,26,204,344.43,1
1,558.32,219,219,558.32,1
3,4599.42,48,221,1533.14,1
1,277.07,165,165,277.07,1
4,1526.01,6,199,381.5025,0
1,500.24,39,39,500.24,0
1,112.6,277,277,112.6,1
2,723.1,3,6,361.55,0
1,155.05,215,215,155.05,1
2,519.75,93,149,259.875,1
1,260.74,15,15,260.74,0
1,331.14,44,44,331.14,0
2,1579.12,2,47,789.56,1
2,2689.75,82,228,1344.875,0
1,110.7,261,261,110.7,0
3,1140.35,211,229,380.1166666666666,1
2,385.64,54,171,192.82,1
1,650.42,1,1,650.42,0
4,1429.84,45,220,357.46,0
1,189.5,86,86,189.5,1
2,300.76,43,53,150.38,0
4,1450.85,48,279,362.7125,0
1,383.85,69,69,383.85,1
2,537.34,65,125,268.67,0
2,266.59000000000003,121,227,133.29500000000002,1
3,467.54,27,279,155.84666666666666,0
1,85.0,162,162,85.0,1
7,2165.27,65,276,309.32428571428574,0
2,663.9300000000001,152,270,331.96500000000003,0
3,1255.0,2,276,418.3333333333333,1
1,593.5799999999999,80,80,593.5799999999999,0
1,1595.48,39,39,1595.48,1
3,2651.46,5,198,883.82,1
20,6469.16,2,275,323.45799999999997,0
3,388.5,78,113,129.5,1
1,201.16,236,236,201.16,1
6,1781.3,18,242,296.8833333333333,0
1,305.78,157,157,305.78,1
3,383.34000000000003,46,199,127.78000000000002,0
1,138.85,128,128,138.85,0
4,3083.65,33,267,770.9125,1
5,2179.4700000000003,11,197,435.89400000000006,0
9,4612.64,2,218,512.5155555555556,0
3,389.6,29,219,129.86666666666667,1
1,540.45,268,268,540.45,1
4,1424.8,43,211,356.2,0
8,1680.76,55,277,210.095,0
11,9398.68,5,221,854.4254545454546,0
4,1742.78,128,163,435.695,0
3,196.25,187,193,65.41666666666667,0
2,506.8,99,110,253.4,1
1,349.55,114,114,349.55,1
2,595.67,29,128,297.835,1
1,416.90000000000003,2,2,416.90000000000003,1
2,501.11,17,268,250.555,0
1,54.519999999999996,156,156,54.519999999999996,0
1,821.1,207,207,821.1,1
1,160.85,220,220,160.85,0
2,937.3000000000001,53,74,468.65000000000003,0
1,155.93,235,235,155.93,1
1,298.5,184,184,298.5,0
3,740.95,93,172,246.98333333333335,1
4,2652.28,17,228,663.07,0
1,201.12,204,204,201.12,0
3,1411.61,36,186,470.53666666666663,0
8,2437.63,54,218,304.70375,0
1,65.38,101,101,65.38,0
1,198.2,163,163,198.2,0
1,195.15,31,31,195.15,0
1,172.25,261,261,172.25,1
4,678.25,2,44,169.5625,1
2,225.45000000000002,16,43,112.72500000000001,0
2,842.65,79,236,421.325,1
1,210.0,46,46,210.0,0
2,1237.53,5,190,618.765,1
1,307.4,204,204,307.4,1
2,608.7900000000001,19,58,304.39500000000004,1
1,922.1,173,173,922.1,1
1,376.58,89,89,376.58,1
1,158.85,79,79,158.85,1
2,390.21,18,221,195.105,0
2,391.06,26,54,195.53,0
3,2831.26,81,282,943.7533333333334,0
2,485.96999999999997,111,177,242.98499999999999,0
1,102.0,270,270,102.0,1
1,537.9,4,4,537.9,0
1,179.30999999999997,156,156,179.30999999999997,0
3,674.45,86,204,224.8166666666667,1
2,3251.07,127,148,1625.535,1
5,2604.36,25,262,520.8720000000001,0
2,322.96,64,215,161.48,1
3,676.07,48,181,225.35666666666668,0
2,337.44,191,272,168.72,0
1,117.6,155,155,117.6,0
4,664.54,218,277,166.135,1
1,80.7,55,55,80.7,1
11,3883.23,17,275,353.0209090909091,0
6,1985.9,16,195,330.98333333333335,0
1,145.9,111,111,145.9,0
1,264.7,197,197,264.7,1
4,1466.67,38,186,366.6675,0
1,357.98,116,116,357.98,1
3,1230.1399999999999,73,275,410.0466666666666,0
8,1681.06,97,276,210.1325,0
4,819.33,36,276,204.8325,0
7,2773.04,17,174,396.1485714285714,0
3,1923.5,72,164,641.1666666666666,0
1,896.6700000000001,149,149,896.6700000000001,0
1,311.3,123,123,311.3,1
1,126.35,53,53,126.35,0
6,2247.41,10,240,374.5683333333333,0
2,419.56,15,58,209.78,0
3,871.9,25,155,290.6333333333333,0
9,2868.9700000000003,5,271,318.7744444444445,0
1,635.66,121,121,635.66,1
2,1309.14,142,283,654.57,0
2,529.73,44,66,264.865,1
5,3203.26,8,198,640.652,0
3,696.56,43,125,232.18666666666664,0
3,962.19,25,222,320.73,1
2,695.61,108,115,347.805,1
1,328.8,187,187,328.8,1
3,473.02,20,185,157.67333333333332,1
4,4291.21,71,267,1072.8025,1
2,800.53,8,48,400.265,0
3,631.9,65,166,210.63333333333333,1
1,440.0,135,135,440.0,1
1,273.14,160,160,273.14,0
2,327.7,31,34,163.85,1
1,165.20000000000002,54,54,165.20000000000002,0
6,1657.5,31,276,276.25,0
13,9627.03,36,282,740.5407692307692,0
6,1845.37,78,276,307.56166666666667,0
2,473.90999999999997,67,67,236.95499999999998,0
3,837.26,17,207,279.08666666666664,0
1,626.65,194,194,626.65,1
2,147.20000000000002,86,274,73.60000000000001,1
2,1086.42,54,117,543.21,0
10,2734.46,4,241,273.446,0
1,141.41,176,176,141.41,1
3,535.71,13,219,178.57000000000002,0
4,1659.75,19,283,414.9375,1
1,151.59,194,194,151.59,1
3,635.92,109,282,211.97333333333333,0
1,409.93,215,215,409.93,1
3,3244.74,68,227,1081.58,0
1,485.98,16,16,485.98,0
16,9271.84,1,276,579.49,0
2,260.25,34,69,130.125,1
1,725.6400000000001,16,16,725.6400000000001,1
17,5333.97,17,194,313.7629411764706,0
13,4805.68,10,270,369.66769230769233,0
1,183.6,176,176,183.6,1
14,4102.78,18,282,293.05571428571426,0
10,8800.67,1,274,880.067,0
4,1097.03,23,184,274.2575,0
1,152.55,176,176,152.55,1
1,224.67,6,6,224.67,0
1,265.85,230,230,265.85,1
2,356.81,170,174,178.405,0
1,307.92,171,171,307.92,0
1,118.67,39,39,118.67,1
3,310.4,92,184,103.46666666666665,0
6,1049.37,11,283,174.89499999999998,1
1,375.1,34,34,375.1,1
2,921.62,212,279,460.81,1
1,182.25,274,274,182.25,1
7,533.39,36,281,76.19857142857143,0
12,3220.94,51,278,268.4116666666667,0
7,25507.89,38,232,3643.9842857142858,0
1,76.32000000000001,234,234,76.32000000000001,1
10,2745.42,9,268,274.54200000000003,0
3,203.89,1,11,67.96333333333332,0
8,2309.92,30,264,288.74,0
1,191.95000000000002,47,47,191.95000000000002,1
5,4944.389999999999,52,236,988.8779999999999,0
2,216.20999999999998,64,75,108.10499999999999,1
1,1266.23,149,149,1266.23,1
6,2461.94,6,274,410.3233333333333,0
1,291.33,11,11,291.33,0
5,3259.62,29,176,651.924,0
3,295.5,5,151,98.5,0
4,1900.82,40,185,475.205,0
1,433.5,264,264,433.5,0
2,386.53,183,240,193.265,1
2,628.87,2,31,314.435,0
1,90.0,53,53,90.0,1
3,709.71,32,220,236.57000000000002,1
1,305.54,165,165,305.54,0
3,726.23,5,170,242.07666666666668,0
1,480.91,229,229,480.91,1
5,1552.46,23,93,310.492,0
3,605.64,39,225,201.88,1
10,3190.32,15,282,319.03200000000004,0
1,285.16,15,15,285.16,0
1,311.81,283,283,311.81,1
1,115.8,43,43,115.8,1
3,2851.2,66,127,950.4,0
2,1903.73,164,267,951.865,0
1,182.8,195,195,182.8,0
1,157.2,143,143,157.2,1
1,446.62,130,130,446.62,1
1,306.18,269,269,306.18,0
1,314.51,144,144,314.51,0
2,1345.62,149,149,672.81,1
1,118.75,176,176,118.75,1
41,98238.79,3,281,2396.0680487804875,0
1,269.18,195,195,269.18,0
7,2732.73,5,272,390.39,0
3,1097.6200000000001,125,279,365.8733333333334,1
2,289.36,83,202,144.68,1
3,1659.39,62,149,553.13,0
1,120.44,185,185,120.44,1
3,389.85,75,241,129.95000000000002,0
1,363.79,8,8,363.79,1
1,114.04,129,129,114.04,0
2,1205.99,81,239,602.995,0
4,576.9000000000001,207,277,144.22500000000002,1
3,299.46,5,89,99.82,0
3,477.29,8,92,159.09666666666666,0
22,4258.92,1,282,193.58727272727273,0
1,197.65,241,241,197.65,1
4,1383.46,19,220,345.865,0
11,3267.92,6,278,297.08363636363634,0
7,2258.26,18,130,322.60857142857145,0
1,422.53999999999996,179,179,422.53999999999996,0
12,5666.45,16,218,472.20416666666665,0
2,1012.0,111,162,506.0,1
1,335.52,16,16,335.52,1
2,356.95,55,149,178.475,0
1,185.39999999999998,128,128,185.39999999999998,1
5,521.24,59,269,104.248,0
1,222.9,174,174,222.9,0
1,328.15999999999997,149,149,328.15999999999997,1
1,151.74,4,4,151.74,1
5,1876.33,31,242,375.26599999999996,0
6,1905.8400000000001,15,281,317.64000000000004,1
6,1129.93,6,205,188.3216666666667,0
3,899.16,66,187,299.71999999999997,0
4,1098.27,96,278,274.5675,0
10,1211.5,9,276,121.15,0
2,632.4,157,268,316.2,1
7,2617.0099999999998,23,249,373.8585714285714,0
1,683.17,87,87,683.17,1
3,991.13,2,174,330.37666666666667,1
4,1009.73,20,230,252.4325,1
2,1692.0,120,179,846.0,0
7,2399.52,106,194,342.7885714285714,0
2,762.13,201,243,381.065,0
3,925.71,93,198,308.57,1
4,1573.33,25,174,393.3325,0
3,959.1,121,227,319.7,0
4,2802.86,67,170,700.715,0
1,189.3,282,282,189.3,0
1,161.0,283,283,161.0,1
1,146.85,236,236,146.85,1
9,1880.89,4,226,208.98777777777778,0
1,226.85,135,135,226.85,0
1,213.70000000000002,93,93,213.70000000000002,1
2,280.55,144,235,140.275,1
8,2305.95,5,275,288.24375,0
2,1693.45,129,173,846.725,1
3,1474.06,20,155,491.3533333333333,1
1,136.76999999999998,188,188,136.76999999999998,1
1,302.58,228,228,302.58,1
2,969.0600000000001,170,274,484.53000000000003,1
4,2725.84,33,228,681.46,0
7,9386.32,61,247,1340.902857142857,0
1,120.0,51,51,120.0,1
3,855.0,17,150,285.0,0
2,333.97,64,155,166.985,1
2,530.18,19,58,265.09,1
3,1516.24,72,170,505.41333333333336,1
1,492.65000000000003,241,241,492.65000000000003,1
1,112.32,135,135,112.32,1
1,132.09,164,164,132.09,0
3,450.05,46,152,150.01666666666668,0
3,1119.74,8,199,373.24666666666667,1
1,1629.03,122,122,1629.03,0
1,134.04,106,106,134.04,1
9,2467.54,19,277,274.1711111111111,0
1,5.9,86,86,5.9,0
1,2050.08,152,152,2050.08,0
2,83.28,108,108,41.64,0
1,426.6,123,123,426.6,1
5,832.78,44,199,166.55599999999998,0
1,777.5600000000001,271,271,777.5600000000001,0
7,2355.54,30,185,336.5057142857143,0
4,2590.21,55,192,647.5525,0
3,739.41,57,278,246.47,0
1,232.6,184,184,232.6,0
37,41182.51,9,270,1113.0408108108109,0
5,2437.14,17,275,487.428,0
1,640.14,27,27,640.14,1
1,383.45,132,132,383.45,1
2,1048.45,23,45,524.225,0
4,2307.89,44,283,576.9725,0
7,1633.7,3,268,233.3857142857143,0
1,310.26,152,152,310.26,1
5,1047.19,1,247,209.43800000000002,0
1,120.0,16,16,120.0,1
5,1550.15,39,176,310.03000000000003,0
2,477.79,116,242,238.895,1
3,900.65,26,243,300.21666666666664,0
2,605.0600000000001,24,148,302.53000000000003,1
1,183.85,152,152,183.85,1
1,311.65,73,73,311.65,1
4,3485.03,18,239,871.2575,0
2,462.65999999999997,34,45,231.32999999999998,1
1,119.04,57,57,119.04,0
7,2328.71,3,268,332.67285714285714,0
1,347.5,6,6,347.5,0
3,1114.39,108,186,371.46333333333337,0
2,588.22,71,106,294.11,1
1,309.52,152,152,309.52,1
1,134.7,128,128,134.7,1
6,1139.52,40,228,189.92,0
2,419.74,47,120,209.87,0
8,889.9300000000001,37,278,111.24125000000001,1
2,1021.58,30,207,510.79,1
1,409.57,170,170,409.57,1
1,282.93,184,184,282.93,1
1,51.0,74,74,51.0,1
4,1078.96,67,183,269.74,1
1,90.6,125,125,90.6,1
1,174.4,275,275,174.4,1
1,1124.49,4,4,1124.49,0
8,3717.35,18,121,464.66875,1
10,5419.7,47,186,541.97,0
1,155.0,229,229,155.0,1
1,100.5,205,205,100.5,1
1,76.55,268,268,76.55,1
1,235.56,95,95,235.56,1
2,617.05,101,172,308.525,1
1,110.98,205,205,110.98,0
1,242.09,73,73,242.09,0
1,142.4,206,206,142.4,1
1,440.76,19,19,440.76,0
6,2277.77,1,282,379.62833333333333,0
1,311.14,100,100,311.14,0
4,1590.71,54,282,397.6775,0
1,67.95,128,128,67.95,1
6,1952.3200000000002,87,282,325.3866666666667,0
1,110.35000000000001,281,281,110.35000000000001,0
10,1036.12,3,123,103.612,0
1,574.7,59,59,574.7,1
10,3079.38,5,269,307.938,0
4,1475.81,40,157,368.9525,1
5,1322.52,18,279,264.504,0
1,156.75,29,29,156.75,1
5,2142.73,17,186,428.546,1
6,2290.81,4,174,381.8016666666667,0
5,1943.73,32,278,388.746,0
9,1099.27,2,215,122.14111111111112,1
1,1063.0,220,220,1063.0,1
1,121.05,272,272,121.05,1
7,1496.98,1,268,213.8542857142857,1
9,3766.13,8,270,418.4588888888889,0
1,150.44,18,18,150.44,0
2,307.14,162,274,153.57,0
1,387.52,9,9,387.52,1
1,455.18,121,121,455.18,0
2,1032.15,80,177,516.075,0
1,265.2,128,128,265.2,1
6,2885.58,50,222,480.93,0
2,330.62,149,235,165.31,0
1,470.36,212,212,470.36,1
1,89.06,8,8,89.06,1
1,63.0,275,275,63.0,1
1,131.9,216,216,131.9,1
1,2661.24,229,229,2661.24,1
2,1185.71,226,275,592.855,0
2,697.4000000000001,4,165,348.70000000000005,0
2,1589.82,114,226,794.91,1
3,991.52,48,278,330.50666666666666,0
1,303.04,156,156,303.04,0
2,601.03,106,190,300.515,0
1,102.35000000000001,274,274,102.35000000000001,0
2,399.91,156,282,199.955,0
3,483.25,90,230,161.08333333333334,1
1,360.0,104,104,360.0,0
1,127.37,3,3,127.37,0
1,119.93,100,100,119.93,1
3,633.69,41,52,211.23000000000002,0
1,113.64,220,220,113.64,1
1,1837.92,65,65,1837.92,1
3,434.34,20,220,144.78,1
3,2102.67,58,171,700.89,1
9,1505.65,30,249,167.29444444444445,0
3,529.62,8,115,176.54,1
3,1038.44,156,212,346.1466666666667,1
5,1580.45,25,282,316.09000000000003,0
1,131.7,222,222,131.7,0
1,297.64,197,197,297.64,0
8,1852.67,13,265,231.58375,1
1,85.0,192,192,85.0,0
2,622.17,96,214,311.085,0
1,193.0,167,167,193.0,1
2,523.0,94,207,261.5,0
2,316.25,163,275,158.125,1
2,636.51,74,197,318.255,1
2,465.95000000000005,9,149,232.97500000000002,0
1,137.1,191,191,137.1,1
1,125.10000000000001,278,278,125.10000000000001,0
1,463.38,117,117,463.38,1
2,340.93,85,282,170.465,1
1,611.22,65,65,611.22,0
1,40.599999999999994,31,31,40.599999999999994,0
2,538.8100000000001,221,283,269.40500000000003,1
1,475.37,219,219,475.37,1
4,1281.79,26,271,320.4475,0
2,367.81,43,188,183.905,0
2,335.85,22,99,167.925,0
2,251.21,93,229,125.605,1
7,1163.22,59,223,166.17428571428573,0
1,597.07,88,88,597.07,0
3,542.71,153,188,180.90333333333334,0
6,4222.74,19,272,703.79,0
3,818.96,72,279,272.9866666666667,0
4,924.6899999999999,11,186,231.17249999999999,0
2,329.89,2,43,164.945,0
2,275.28,97,142,137.64,1
3,455.59000000000003,10,198,151.86333333333334,1
2,403.11,111,241,201.555,0
2,765.65,101,128,382.825,0
1,252.45,51,51,252.45,0
1,165.0,200,200,165.0,0
2,760.6999999999999,2,108,380.34999999999997,0
1,241.09,18,18,241.09,1
5,1028.87,88,270,205.77399999999997,0
7,2820.29,10,271,402.8985714285714,0
40,5280.42,8,279,132.0105,0
1,135.24,20,20,135.24,0
5,2482.32,3,206,496.46400000000006,0
4,932.85,146,262,233.2125,1
2,734.98,22,262,367.49,0
14,3029.7400000000002,5,228,216.41000000000003,0
2,1652.81,37,158,826.405,0
1,170.95,169,169,170.95,1
1,106.5,166,166,106.5,0
1,195.9,219,219,195.9,0
7,1307.3500000000001,78,229,186.76428571428573,0
1,103.25,95,95,103.25,1
13,3199.85,18,274,246.1423076923077,0
1,1101.77,271,271,1101.77,0
2,874.88,111,158,437.44,0
2,652.8,60,227,326.4,1
1,289.24,221,221,289.24,1
1,125.43,114,114,125.43,0
1,164.22,61,61,164.22,1
2,312.32,128,249,156.16,0
1,186.34,212,212,186.34,0
15,1565.2,4,267,104.34666666666666,0
2,566.99,72,94,283.495,0
7,2309.38,2,214,329.9114285714286,0
4,2949.12,5,271,737.28,1
1,1432.0,20,20,1432.0,1
1,800.76,40,40,800.76,0
2,217.21,190,190,108.605,1
5,2063.2400000000002,20,234,412.648,0
9,1639.82,89,282,182.20222222222222,1
1,35.400000000000006,282,282,35.400000000000006,1
3,646.64,73,272,215.54666666666665,0
4,741.72,54,115,185.43,0
4,1033.06,79,108,258.265,1
1,237.36,186,186,237.36,1
8,1452.68,94,241,181.585,0
1,39.75,281,281,39.75,1
1,204.02,123,123,204.02,0
2,339.59,108,108,169.795,0
1,255.0,283,283,255.0,0
1,163.8,223,223,163.8,0
1,165.1,101,101,165.1,0
1,393.33000000000004,215,215,393.33000000000004,1
1,660.0,184,184,660.0,1
68,9358.91,3,283,137.6310294117647,0
1,495.0,171,171,495.0,0
1,204.0,272,272,204.0,0
3,486.36,53,206,162.12,0
3,406.08000000000004,152,227,135.36,1
1,211.8,247,247,211.8,0
1,394.44,155,155,394.44,1
2,412.78000000000003,115,193,206.39000000000001,1
3,1002.91,66,268,334.30333333333334,0
1,320.58000000000004,94,94,320.58000000000004,1
3,601.48,26,145,200.49333333333334,0
2,899.63,106,271,449.815,1
2,1571.29,32,143,785.645,0
2,671.96,1,152,335.98,1
2,630.08,145,208,315.04,0
1,114.56,172,172,114.56,1
1,344.90000000000003,176,176,344.90000000000003,1
1,300.19,178,178,300.19,0
4,1989.23,30,271,497.3075,0
4,1483.3600000000001,37,137,370.84000000000003,0
2,693.8100000000001,80,268,346.90500000000003,1
1,187.50000000000003,208,208,187.50000000000003,0
2,597.09,66,185,298.545,1
43,177729.62,2,264,4133.246976744186,0
1,236.04000000000002,111,111,236.04000000000002,1
2,582.12,122,122,291.06,0
1,415.47,121,121,415.47,0
1,344.81,248,248,344.81,0
1,810.56,132,132,810.56,0
2,291.05,79,193,145.525,1
3,638.94,65,236,212.98000000000002,0
1,123.14,27,27,123.14,0
6,1641.55,55,225,273.59166666666664,0
1,128.95,10,10,128.95,0
3,512.28,144,226,170.76,0
3,731.66,206,220,243.88666666666666,0
18,6007.21,4,278,333.7338888888889,0
3,1259.24,151,242,419.74666666666667,1
2,392.86,190,190,196.43,1
2,765.55,144,246,382.775,1
1,373.49,277,277,373.49,0
4,1690.92,57,193,422.73,0
14,25422.56,5,281,1815.8971428571429,0
1,393.95,121,121,393.95,0
2,52.0,97,111,26.0,1
2,493.44,125,272,246.72,0
1,628.38,16,16,628.38,1
16,4186.45,2,283,261.653125,0
1,112.8,118,118,112.8,1
1,212.56,61,61,212.56,0
2,1274.68,6,122,637.34,0
4,591.55,47,232,147.8875,1
1,172.9,174,174,172.9,1
5,1458.54,29,283,291.70799999999997,0
2,188.60999999999999,128,128,94.30499999999999,1
1,109.13000000000001,124,124,109.13000000000001,1
2,1541.1,99,148,770.55,0
7,1941.43,82,226,277.34714285714284,0
9,1651.25,26,275,183.47222222222223,0
2,207.5,52,90,103.75,0
1,179.0,108,108,179.0,1
2,701.1800000000001,64,278,350.59000000000003,0
9,3952.7400000000002,3,268,439.1933333333334,0
9,2355.63,1,172,261.7366666666667,0
1,115.72,22,22,115.72,0
9,2029.61,9,275,225.51222222222222,0
3,594.75,4,241,198.25,0
1,181.72,58,58,181.72,0
2,488.12,89,159,244.06,0
1,155.8,36,36,155.8,0
1,180.42000000000002,57,57,180.42000000000002,1
3,453.95,268,281,151.31666666666666,0
1,268.58,184,184,268.58,1
1,313.49,283,283,313.49,1
5,872.13,17,186,174.426,0
2,251.01999999999998,115,122,125.50999999999999,0
5,1618.3,53,249,323.65999999999997,0
11,9044.2,20,277,822.2,0
23,3595.71,9,268,156.33521739130435,0
2,1081.75,38,263,540.875,0
5,757.6500000000001,43,226,151.53000000000003,0
4,2247.58,4,277,561.895,0
3,1448.21,107,193,482.7366666666667,1
4,864.96,23,282,216.24,0
5,928.03,207,276,185.606,0
5,1220.26,22,195,244.052,1
1,328.2,159,159,328.2,1
4,1118.77,33,278,279.6925,0
1,228.26999999999998,205,205,228.26999999999998,0
7,2867.6800000000003,22,244,409.66857142857145,0
4,1484.06,54,169,371.015,1
2,870.85,22,142,435.425,0
1,89.2,207,207,89.2,1
1,97.5,244,244,97.5,0
1,300.52,173,173,300.52,1
2,95.5,22,86,47.75,0
4,1531.32,78,276,382.83,0
1,133.20000000000002,37,37,133.20000000000002,0
6,6284.84,18,267,1047.4733333333334,0
2,876.42,142,233,438.21,1
1,139.26,22,22,139.26,1
2,701.46,47,282,350.73,0
8,1862.22,15,222,232.7775,0
2,730.86,37,218,365.43,1
3,386.15,190,233,128.71666666666667,1
1,200.10000000000002,229,229,200.10000000000002,1
1,114.68,233,233,114.68,0
2,364.04,29,163,182.02,0
4,679.54,113,244,169.885,0
1,131.45000000000002,76,76,131.45000000000002,1
14,6579.62,4,276,469.97285714285715,0
2,97.4,54,220,48.7,0
9,3832.49,19,279,425.8322222222222,0
3,845.55,72,202,281.84999999999997,1
1,109.25,223,223,109.25,0
6,1833.82,54,82,305.63666666666666,0
10,1866.78,13,279,186.678,0
2,152.88,279,279,76.44,1
1,271.85,107,107,271.85,1
2,1010.34,110,187,505.17,1
2,409.63,79,163,204.815,0
1,84.72,102,102,84.72,0
1,139.77,83,83,139.77,0
1,48.800000000000004,276,276,48.800000000000004,1
3,321.43,90,104,107.14333333333333,1
1,441.91,1,1,441.91,0
7,1333.47,37,278,190.49571428571429,0
3,2139.76,106,246,713.2533333333334,1
3,531.63,94,282,177.21,0
2,429.3,30,150,214.65,0
3,1345.56,15,111,448.52,0
1,62.85,177,177,62.85,1
4,2375.57,89,268,593.8925,0
3,1901.52,5,218,633.84,0
3,2257.6800000000003,33,151,752.5600000000001,0
1,309.4,58,58,309.4,1
17,5784.53,5,283,340.2664705882353,0
1,325.75,221,221,325.75,1
1,206.13,166,166,206.13,0
5,2188.42,6,162,437.684,0
1,214.5,121,121,214.5,0
6,2281.83,43,184,380.305,0
2,645.65,29,44,322.825,1
1,522.52,58,58,522.52,0
1,296.86,114,114,296.86,0
1,304.09999999999997,58,58,304.09999999999997,0
1,37.2,282,282,37.2,0
3,1127.4,15,276,375.8,0
3,710.28,95,246,236.76,1
4,1297.07,30,143,324.2675,0
1,387.06,13,13,387.06,0
1,327.25,171,171,327.25,1
3,335.3,88,270,111.76666666666667,0
1,519.68,120,120,519.68,1
2,1465.3200000000002,17,172,732.6600000000001,1
6,1083.02,83,268,180.50333333333333,0
2,347.67,95,198,173.835,0
2,358.48,73,121,179.24,0
1,765.3199999999999,41,41,765.3199999999999,1
1,364.8,162,162,364.8,1
1,369.2,117,117,369.2,1
1,135.9,246,246,135.9,1
1,125.65,163,163,125.65,1
2,554.38,58,97,277.19,1
13,7974.79,1,200,613.4453846153846,0
2,468.77000000000004,114,275,234.38500000000002,1
1,175.5,206,206,175.5,0
5,991.18,44,281,198.236,0
5,822.12,11,282,164.424,0
4,2398.62,34,188,599.655,0
2,616.15,67,143,308.075,1
5,2608.18,9,277,521.636,0
109,76104.45,3,283,698.2059633027523,0
1,482.78999999999996,156,156,482.78999999999996,0
3,917.15,93,269,305.71666666666664,0
2,307.48,1,187,153.74,1
3,967.76,3,234,322.58666666666664,0
2,1610.15,25,64,805.075,1
2,977.77,122,122,488.885,1
1,903.01,111,111,903.01,0
1,310.05,155,155,310.05,1
3,2362.96,18,184,787.6533333333333,1
1,243.0,150,150,243.0,0
1,313.53,275,275,313.53,1
1,828.84,192,192,828.84,0
1,1784.71,207,207,1784.71,1
3,5072.88,18,185,1690.96,0
1,759.56,40,40,759.56,0
7,3164.19,4,206,452.02714285714285,0
1,178.5,40,40,178.5,0
4,639.23,8,129,159.8075,0
7,3534.61,116,274,504.94428571428574,0
1,58.49,163,163,58.49,1
3,483.72999999999996,57,155,161.2433333333333,1
3,537.32,19,206,179.10666666666668,0
1,88.3,81,81,88.3,0
7,4917.93,1,270,702.5614285714286,0
1,126.7,180,180,126.7,1
1,294.2,93,93,294.2,0
1,206.21,157,157,206.21,1
2,596.09,6,6,298.045,1
3,1119.75,47,226,373.25,0
1,114.77,38,38,114.77,1
3,1314.45,17,135,438.15000000000003,1
4,559.96,11,236,139.99,0
4,1527.23,145,240,381.8075,0
1,102.12,156,156,102.12,1
1,102.23,90,90,102.23,0
2,292.01,108,268,146.005,1
1,163.2,275,275,163.2,0
1,334.54,121,121,334.54,1
1,119.31,190,190,119.31,0
1,155.28,88,88,155.28,0
2,414.87,80,151,207.435,1
